,vendor_name,img,name,carbohydrates,fats,proteins,calories
110,4089137,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/c9/b0/5a965727334026d1f2463e4c66b7.jpg,"Ананасы кусочки в лёгком сиропе Пр!ст, 565г",16.3,,0.6,65.0
111,3642356,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/ca/e5/716e0e9a769771fb91d84b19d622.jpg,"Ананасы Королевские кусочки в сиропе Маркет Перекрёсток, 565г",17.0,0.1,0.4,70.0
112,3904924,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/75/5c/2c041fd2dd129e6857a0fdd846af.jpg,"Ананасы Королевские кольца консервированные в сиропе Маркет Перекрёсток, 825г",15.0,0.1,0.3,64.0
113,3904923,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/f5/e5/46a411c88f6c9f94aaabf3924344.jpg,"Ананасы Королевские кусочки консервированные в сиропе Маркет Перекрёсток, 825г",15.0,0.1,0.3,64.0
114,4089136,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/d9/bd/55726695c89a71b640cc884c2924.jpg,"Ананасы кольца в лёгком сиропе Пр!ст, 565г",16.3,0.1,0.6,65.0
115,3659060,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/e0/9d/f13dxdff96771080630570a3fab1.jpg,"Хлопья Любятово кукурузные, 300г",82.0,1.0,8.0,380.0
116,3398285,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/87/61/ce0a9b8bcd24b3cd02ab149d3276.jpg,"Мюсли Matti ежевика-малина, 250г",62.0,13.0,7.5,390.0
117,2137587,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/b7/d6/dd1917c2f5c9cdee7a3c6b40c6ac.jpg,"Мюсли Ого с орехом запечённые, 350г",58.0,18.0,8.5,430.0
118,3628506,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/b1/42/c258e640c75d3572fed5afb1b0ce.jpg,"Хлопья кукурузные Хрутка хрустящие, 700г",78.7,3.0,7.0,369.0
119,3417240,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/c6/91/5c1845397b5f2cf8c803317c561a.jpg,"Мюсли Ого с тропическими фруктами запечённые, 350г",62.0,17.0,8.0,430.0
120,3691087,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/36/2f/a99a31bfe95e7d8d8863c5bcbdd6.jpg,"Подушечки Любятово шоколадные, 500г",67.0,16.0,6.5,450.0
121,3659063,https://cdn-img.perekrestok.ru/i/800x800-fit/xdelivery/files/83/81/32040abb9995d11d4364051ac6d4.jpg,"Шарики Любятово шоколадные, 500г",65.0,16.0,7.0,450.0
